英文原文	真实法文	模型预测法文
Tom, can you hear me?	Tom, peux-tu m'entendre ?	Tom, pouvez-vous me entendre ?
I didn't get even one letter from her.	Je ne reçus pas même une lettre d'elle.	Je n'ai même pas été chez lui d'elle.
I'm very sorry to hear that.	Je suis effondré d'entendre ça.	Je suis très désolé d'entendre cela.
I was kicked out of high school.	J'ai été expulsée du lycée.	J'étais sorti de lycée.
The rebels took control of the capital.	Les rebelles ont pris le contrôle de la capitale.	Le <unk> <unk> de la <unk>
I need to be at work by 7:30.	Je dois être au travail à 7h30.	Il me faut être en travail par <unk>
I was completely shocked.	J'étais totalement choquée.	J'étais complètement choqué.
Do you have medical insurance?	Avez-vous une assurance médicale ?	Avez-vous des problèmes ?
I want to learn Korean.	Je veux apprendre le coréen.	Je veux apprendre l'anglais.
My father doesn't like music.	Mon père n'aime pas la musique.	Mon père n'aime pas la musique.
She promised me that she'd come.	Elle me promit qu'elle viendrait.	Elle m'a promis que ce soit venu.
I'd be delighted if you'd come with me.	Je serais ravi si vous m'accompagniez.	Je serais ravi si tu viennes avec moi.
Coastal cities will take the brunt of the storm.	Les villes côtières encaisseront le gros de la tempête.	Les villes <unk> <unk> <unk> le <unk>
I hope they have a pleasant journey.	J'espère qu'elles font bon voyage.	J'espère qu'ils ont une mauvaise vue.
We must check.	Il nous faut vérifier.	Nous devons nous disputer.
I am a student.	Je suis étudiant.	Je suis étudiant.
This is my daughter's school.	C'est l'école de ma fille.	C'est mon tour de l'école.
He tried harder to get good marks than I did.	Il a travaillé plus dur que je ne l'ai fait pour obtenir des bonnes notes.	Il essaya de me rendre plus de <unk> que je ne <unk>
Take as much time as you want.	Prends autant de temps que tu veux.	Prenez autant de temps que vous voulez.
I just have so much on my mind.	J'ai juste tellement en tête.	Je viens de me <unk> à l'esprit.
My father is absent on business.	Mon père est absent à cause de son travail.	Mon père est absent de la loi.
Do you know how they knew?	Savez-vous comment elles ont su ?	Sais-tu comment elles <unk> ?
Why do you laugh so hard at his jokes? They're not even funny.	Pourquoi ris-tu si fort de ses blagues ? Elles ne sont même pas drôles.	Pourquoi vous <unk> autant dur à son <unk> même n'est pas trop <unk>
He has just come back.	Il vient juste de rentrer.	Il vient d'arriver.
I feel like I'm ready for that.	J'ai le sentiment d'être prêt pour ça.	Je me sens comme je suis prêt pour cela.
All work and no play makes Jack a dull boy.	Tout le travail sans jouer fait de Jack un enfant morose.	Tout le travail et <unk> de <unk> <unk> <unk>
Tom won a free trip to Boston.	Tom a gagné un voyage gratuit à Boston.	Tom a gagné un voyage à Boston.
I'd like some more coffee.	Un autre café, s'il vous plaît.	J'aimerais disposer de café.
How much will all this cost?	Combien tout cela va-t-il coûter ?	Combien <unk> tout ça ?
I'll accompany you to the hospital.	Il va vous accompagner à l'hôpital.	Je vais vous accompagner le hôpital.
He's my husband.	Il est mon époux.	C'est mon mari.
This hat's too small for you.	Ce chapeau est trop petit pour toi.	Ce <unk> est trop petit pour toi.
Got it!	J'ai pigé !	<unk> !
I don't know you anymore.	Je ne te connais plus.	Je ne sais plus que tu <unk>
I'm the surgeon.	Je suis le chirurgien.	Je suis <unk>
Tom didn't tell me her name.	Tom ne m'a pas dit son nom.	Tom ne m'a pas dit son nom.
I listened, but I heard nothing.	J'écoutai, mais je n'entendis rien.	J'ai <unk> mais je n'ai rien entendu parler de rien.
You're good.	Tu es bonne.	Vous êtes bons.
I never told you to lie.	Je ne vous ai jamais dit de mentir.	Je n'ai jamais dit de mentir.
She broke the cup, too.	Elle a brisé la tasse en plus.	Elle a cassé la <unk>
Can this news be true?	Ces nouvelles peuvent-elles être vraies ?	Est-ce que ce film peut être <unk>
Don't forget your stuff.	N'oublie pas tes affaires.	N'oublie pas votre <unk> !
Am I supposed to thank you?	Suis-je supposée te remercier ?	Est-ce que je te dérange pour vous remercier ?
I slept aboard the ship.	J'ai dormi à bord du navire.	J'ai dormi le navire.
Nothing seems to grow in this soil.	Rien ne semble pousser sur ce sol.	Rien ne semble pas <unk> dans ce sujet.
You must be starving.	Vous devez mourir de faim.	Tu dois être <unk>
My father hates the summer heat.	Mon père déteste la chaleur de l'été.	Mon père déteste les <unk>
Get in the car.	Monte dans la voiture !	Monte dans la voiture.
Tom's death was preventable.	La mort de Tom était évitable.	Tom est mort de <unk>
I'm glad you're doing better.	Je me réjouis que tu te portes mieux.	Je suis heureux que vous seriez mieux.
Your French is improving.	Ton français s'améliore.	Votre français est en train de chanter.
I'm not uncomfortable.	Je ne me sens pas mal à l'aise.	Je ne suis pas <unk>
You should have seen it!	Tu aurais dû le voir.	Tu aurais dû voir le voir.
They should have the right to decide for themselves.	Elles devraient avoir le droit de décider par elles-mêmes.	Elles devraient avoir le droit à décider de devenir <unk>
Reading books is interesting.	Lire des livres est intéressant.	Lire des livres est intéressant.
We've looked everywhere, haven't we?	Nous avons regardé partout, n'est-ce pas ?	Nous avons regardé <unk> n'est-ce pas ?
Did you write this book?	Tu as écrit ce livre ?	Avez-vous écrit ce livre ?
Tom built an igloo in his backyard.	Tom a construit un igloo dans son jardin.	Tom a construit une <unk> dans sa retraite <unk>
All of these meetings are in English.	L'ensemble de ces réunions sont en anglais.	Toutes ces lois sont en anglais.
I want to show you something.	Je veux vous montrer quelque chose.	Je veux te montrer quelque chose.
I make lunch every day.	Je prépare le déjeuner tous les jours.	Je fais déjeuner tous les jours.
She can play the piano well.	Elle sait bien jouer du piano.	Elle sait jouer du piano.
It is time you told her the truth.	Il est temps que vous lui disiez la vérité.	Il est l'heure de lui dire la vérité.
Flattery will get you nowhere.	La flatterie ne te mènera nulle part.	<unk> <unk>
His wife is one of my friends.	Sa femme est l'une de mes amies.	Sa femme est l'un de mes amis.
Does he have a girlfriend?	A-t-il une petite copine ?	A-t-il une amie ?
I remember that I gave him the key.	Je me rappelle lui avoir donné la clé.	Je me souviens de lui avoir donné la clé.
What else does Tom need?	De quoi d'autre Tom a-t-il besoin ?	Que d'autre que Tom a besoin de Tom ?
Why are you protesting against the government?	Pourquoi protestez-vous contre le gouvernement ?	Pourquoi êtes-vous <unk> contre le <unk> ?
Are you still happy?	Êtes-vous toujours heureux ?	Es-tu encore heureux ?
Tom found something.	Tom a trouvé quelque chose.	Tom a trouvé quelque chose.
He denies having done it.	Il nie l'avoir fait.	Il a fait avoir fait ça.
He was sick, so he couldn't attend the party.	Il était malade, de sorte qu'il n'a pas pu assister à la fête.	Il était malade, il ne pouvait pas pu assister à la fête.
I'm not sure if I'm stupid or not.	Je ne suis pas sûre d'être idiote ou pas.	Je ne suis pas sûre que je suis stupide ou pas.
Do you get along with your boss?	T'entends-tu bien avec ton patron ?	<unk> avec votre équipe ?
All I know is that he came from China.	Tout ce que je sais, c'est qu'il vient de Chine.	Tout ce que je sais qu'il est venu à Chine.
Do you mean you're giving up?	Voulez-vous dire que vous abandonnez ?	Es-tu en train de te dire ?
How's Tom?	Comment va Tom ?	Comment Tom est Tom ?
The situation calls for drastic measures.	La situation exige des mesures drastiques.	Le situation <unk>
Just say yes or no.	Dites juste oui ou non !	Dis simplement ou non.
There's someone here to see you.	Il y a ici quelqu'un qui vient vous voir.	Il y a quelqu'un ici pour vous voir.
The day is getting longer and longer.	Le jour s'allonge de plus en plus.	Le jour est plus plus plus plus longtemps.
I had a bad stomachache.	J'ai eu d'affreux maux d'estomac.	J'ai eu une mauvaise idée.
Frankly speaking, I hate him.	Pour le dire franchement, je le déteste.	Pour le <unk> je lui ai <unk>
You're too old for me.	Vous êtes trop vieilles pour moi.	Vous êtes trop vieux pour moi.
We gladly accept your offer.	Nous acceptons ton offre avec plaisir.	Nous avons beaucoup accepter votre offre.
I want to kiss Tom.	Je veux embrasser Tom.	Je veux embrasser Tom.
I grow many kinds of roses.	Je cultive de nombreuses sortes de roses.	J'ai beaucoup de sortes de roses <unk>
My university has a dormitory.	Mon université comporte un dortoir.	Mon université a une <unk>
The grand prize is a kiss from the princess.	La récompense suprême est un baiser de la princesse.	Le <unk> est un prix de la <unk>
They left.	Ils sont partis.	Elles sont partis.
You can't bury the truth.	Tu ne peux pas enterrer la vérité.	Vous ne pouvez pas annuler la vérité.
This is intriguing.	C'est intrigant.	C'est <unk>
So what's your problem?	Donc quel est ton problème ?	Alors est ton problème ?
We had little water.	Nous avions peu d'eau.	Nous avons eu de l'eau.
Don't come in! I'm naked.	N'entrez pas ! Je suis nu.	Ne reviens pas de nu.
This doll has big eyes.	Cette poupée a de grands yeux.	Cette poupée a des yeux.
How old is he now?	Quel âge a-t-il maintenant ?	Quel âge est maintenant ?
We're quite drunk.	On est pas mal bourrés.	Nous sommes assez saoul.
Your wallet is on the television set.	Ton porte-monnaie est sur le poste de télévision.	Ton <unk> est sur la télévision du tunnel.
Don't close the door.	Ne fermez pas la porte.	Ne <unk> pas la porte.
You could be one of them.	Tu pourrais être l'un d'eux.	Tu pourrais être fier de eux.
How did it get here?	Comment cela a-t-il atterri ici ?	Comment cela s'est-il passé ici ?
I'll hang onto it for now.	Je vais le conserver pour l'instant.	Je vais le <unk> maintenant.
I want to get married, just not to you.	Je veux me marier, simplement pas avec vous.	Je veux me mettre juste de ne pas te connaître.
I don't think I can eat this.	Je ne pense pas arriver à manger ça.	Je ne pense pas que je parvienne à manger ça.
If you act like that, he'll think you hate him.	Si vous agissez ainsi, il pensera que vous le détestez.	Si vous faites des <unk> comme ça pensait que vous le <unk>
I've forgotten my email address.	J'ai oublié mon adresse électronique.	J'ai oublié mon adresse électronique.
Maybe it really was an accident.	Peut-être que c'était vraiment un accident.	Peut-être <unk> vraiment.
If you need anything, just call.	Si tu as besoin de quoi que ce soit, appelle simplement !	Si vous avez besoin de me <unk> simplement <unk>
A home is more than a mere building.	Un foyer est plus qu'un simple bâtiment.	Un maison est plus jeune que un bâtiment.
Don't make the same mistake again.	Ne refais pas la même erreur.	Ne faites pas la même erreur à nouveau.
This is useless.	C'est inutile.	C'est inutiles.
It has been snowing on and off.	Il neige par intermittence.	Ça a été <unk> et <unk>
You don't look your age.	Vous ne faites pas votre âge.	Vous n'avez pas l'air de votre âge.
Is that thing working?	Est-ce que cette chose marche ?	Est-ce là quelque chose ?
I don't know why I bother with you.	J'ignore pourquoi je prends de la peine pour toi.	Je ne sais pas pourquoi je vous ai <unk>
You're not safe here.	Vous n'y êtes pas en sécurité.	Vous n'êtes pas en sécurité, ici.
Is there a zoo in Boston?	Y a-t-il un zoo à Boston ?	Y a-t-il un seul en sérieusement ?
I'd better be on my way.	Je ferais mieux d'y aller.	Je ferais mieux de mon chemin.
A good password should be difficult to guess, but easy to remember.	Un bon mot de passe devrait être difficile à deviner mais facile à mémoriser.	Un bon serait bon serait difficile de <unk> mais <unk> mais <unk>
He's two years older than Mary is.	Il a deux ans de plus que Mary.	Il a deux ans plus vieux que Marie est que Marie est plus grand.
I want you to know that I can't be there tomorrow.	Je veux que tu saches que je ne peux pas être là demain.	Je veux que vous sachiez que je ne peux pas être demain.
Trying to do such a thing is a waste of time.	Essayer de faire une telle chose est une perte de temps.	<unk> de faire une telle chose est une perte de temps.
She speaks good English.	Elle parle un bon anglais.	Elle parle bien l'anglais.
German Shepherds are good at sniffing out drugs.	Les bergers allemands sont bons pour détecter l'odeur de la drogue.	Les <unk> <unk> sont bon <unk> à <unk>
It appears that he is mistaken.	Il semblerait qu'il se méprend.	Il semble qu'il est <unk>
She wouldn't give him the time of day.	Elle refusait de lui donner l'heure.	Elle ne lui <unk> pas de la journée.
What would your mother think?	Que penserait ta mère ?	Que <unk> votre mère ?
I didn't do what I was told to do.	Je ne fis pas ce qu'on me disait de faire.	Je n'ai pas fait ce que j'avais dit de faire.
His salary can't keep pace with inflation.	Son salaire n'arrive pas à suivre le rythme de l'inflation.	Sa <unk> ne peut pas continuer avec les <unk>
I want to go there once more.	Je veux m'y rendre une fois encore.	Je veux y aller plus de plus.
I want you to have my land after I die.	Je veux qu'après ma mort, tu aies ma terre.	Je veux que vous devez mon grand-père.
When did you finish the work?	Quand as-tu fini le travail ?	Quand as-tu fini le travail ?
Can you help me to translate these sentences into Chinese?	Peux-tu m'aider à traduire ces phrases en chinois ?	Peux-tu m'aider à traduire ces mots dans ces <unk>
I've received it too.	Je l'ai également reçu.	J'ai reçu également également
He has been secretly in love with her.	Il a été secrètement amoureux d'elle.	Il a été en train de lui d'elle.
I'm proud of the work I've done here.	Je suis fière du travail que j'ai accompli ici.	Je suis fière de travail que j'ai fait ici.
I never would've guessed.	Je n'aurais jamais deviné.	Je n'ai jamais <unk>
Do you work well under pressure?	Est-ce que vous travaillez bien sous pression ?	<unk> bien <unk>
Even if it takes me ten years, I am determined to accomplish the job.	Même si ça me prend dix ans, je suis déterminée à accomplir ce boulot.	Même si ça se trouve dix ans je suis allé à son travail.
We'll be together soon.	Nous serons bientôt ensemble.	Nous serons bientôt bientôt <unk>
They agreed to work together.	Elles s'accordèrent pour travailler ensemble.	Elles s'accordèrent à travailler ensemble.
He has a few pens.	Il a quelques stylos.	Il a quelques <unk>
It's difficult to help people that don't want your help.	C'est difficile d'aider des gens qui ne veulent pas de ton aide.	Il est difficile d'aider de gens qui veulent ne veulent pas votre aide.
Were you one of them?	Étais-tu l'un d'entre eux ?	En êtes-vous l'un d'entre eux ?
She wants a fourth generation iPad.	Elle veut un iPad de quatrième génération.	Elle veut un <unk> <unk>
What do you think this is?	Que pensez-vous que ce soit ?	Que pensez-vous que c'est ?
We're punctual.	Nous sommes ponctuelles.	Nous sommes <unk>
Can you prove that what you said is true?	Peux-tu prouver que ce que tu as dit est vrai ?	Peux-tu prouver ce que vous avez dit est ce que vous avez dit ?
Did I lock the door?	Ai-je verrouillé la porte ?	Ai-je <unk> la porte ?
He's better at it than I am.	Il y est meilleur que je ne le suis.	Il est meilleur que ce soit que moi.
I got really mad.	Je me suis vraiment mis en colère.	J'ai vraiment énervé.
Listen to what I have to say.	Écoute ce que j'ai à dire.	Écoute ce que j'ai à dire.
I want to go to Sweden.	Je veux aller en Suède.	Je veux aller <unk>
A moral person doesn't lie, cheat, or steal.	Une personne vertueuse ne ment, ne triche et ne vole pas.	Un <unk> <unk> ne <unk> pas <unk> ou <unk>
Where's my driver?	Où est mon chauffeur ?	Où est mon <unk>
She's a beauty.	Elle est très belle.	C'est une beauté.
All of them went there.	Ils sont tous allés là-bas.	Toutes les <unk>
I think he's attracted to you.	Je pense qu'il est attiré par vous.	Je pense qu'il est attiré de toi.
We may still get lucky.	On pourrait encore avoir de la chance.	Il se peut toujours à la chance.
We grow vegetables in our garden.	Nous cultivons des légumes dans notre jardin.	Nous <unk> de légumes notre jardin.
Hey, how do you get this thing open?	Dites, comment parvenez-vous à ouvrir ce truc ?	Hé, fais faire ça signifie ce truc ?
He has a crush on this girl.	Il en pince pour cette fille.	Il a un <unk> sur cette fille.
Two small bottles, please.	Deux petites bouteilles, s'il vous plaît.	Deux semaines <unk> s'il vous plait.
Freedom is so fundamental that its importance cannot be overemphasized.	La liberté est si fondamentale que nous ne saurions en exagérer l'importance.	<unk> est tellement <unk> qu'il ne peut pas être <unk>
Share your lunch with your brother.	Partage ton déjeuner avec ton frère.	<unk> votre déjeuner avec ton frère.
I've always played with my brother.	J'ai toujours joué avec mon frère.	J'ai toujours joué avec mon frère.
My sister is so annoying.	Ma sœur est tellement pénible !	Ma sœur est tellement <unk>
Thank you for considering me for the job.	Merci de réfléchir à moi pour le boulot.	Merci de m'avoir pour moi pendant le travail.
Tom mistook me for my brother.	Tom m'a pris pour mon frère.	Tom m'a confondu mon frère.
She needs you.	Elle a besoin de vous.	Elle a besoin de toi.
With a little more effort, he would have succeeded.	En faisant un peu plus d'effort, il aurait réussi.	<unk> un peu plus <unk> il aurait <unk>
I walked along the river.	Je longeais la rivière.	J'ai marché la rivière.
He doesn't listen to me.	Il ne m'écoute pas.	Il ne me <unk> pas.
I made him do so.	Je le lui ai fait faire.	Je le fis le faire.
I wouldn't do that to anybody.	Je ne ferais cela à personne.	Je ne le ferai pas à personne.
What could possibly go wrong?	Qu'est-ce qui pourrait aller de travers ?	Que pourrait aller y aller ?
No one here has a car.	Personne ici ne dispose de voiture.	Personne ne porte ici une voiture.
I'll arrange that.	J'arrangerai ça.	Je <unk> cela.
How tall you are!	Que vous êtes grande !	Comme vous êtes grands !
I'm looking for my wallet. Have you seen it?	Je cherche mon portefeuille. L'as-tu vu ?	Je cherche mon portefeuille pour vous l'avez vu ?
Where did you hide it?	Où l'avez-vous caché ?	Où as-tu fait ?
Wait a bit longer.	Attends encore un peu !	Attends un peu plus longtemps.
I would rather walk than wait for a bus.	Je préfèrerais marcher plutôt que d'attendre un bus.	Je préférerais marcher que nous <unk> un bus.
Please come in.	Entrez, s'il vous plaît.	Veuillez venir s'il vous plaît.
The storm became even more violent.	La tempête devint encore plus violente.	La tempête devint même plus fort.
We lead a very ordinary life.	Nous menons une vie très ordinaire.	Nous nous <unk> très <unk>
I can tell you things you won't hear from anyone else.	Je peux te raconter des choses que tu n'entendras de personne d'autre.	Je peux te dire que vous ne vous <unk> pas à personne d'autre.
You can't reason with Tom.	On ne peut pas faire entendre raison à Tom.	Vous ne pouvez pas dire avec Tom.
Show me how to do this.	Montre-moi comment faire !	Montrez-moi comment faire ça.
I felt ill.	Je me sentis malade.	Je me suis senti malade.
I'm not used to this heat.	Je ne suis pas habituée à cette chaleur.	Je ne suis pas habitué à ce chaleur.
You can pour the wine into the glass.	Vous pouvez verser le vin dans le verre.	Tu peux <unk> le vin dans le verre.
You never have any doubts, do you?	Vous n'êtes jamais en proie au doute, n'est-ce pas ?	Vous n'avez jamais de quoi faire, n'est-ce pas ?
We have a big dog.	Nous avons un gros chien.	Nous avons une grande chien.
The floor gave way.	Le sol céda.	Le sol a <unk>
We're not officially dating.	On ne sort pas ensemble officiellement.	Nous ne sommes pas <unk>
I thought we could talk.	Je pensais que nous pourrions nous entretenir.	Je pensais que nous pourrions discuter.
Tom called to say he'd be late.	Tom a appelé pour dire qu'il serait en retard.	Tom a appelé le dire qu'elle serait en retard.
Are you on Facebook?	T'es sur Facebook ?	Es-tu drogué ?
I'm not surprised.	Je ne suis pas surpris.	Je ne suis pas surpris.
Last night's game was exciting.	La partie de la nuit dernière était passionnante.	Les <unk> ont été <unk>
She makes her mother happy.	Elle rend sa mère heureuse.	Elle lui rend sa mère.
Did I miss the turn?	Ai-je loupé l'embranchement ?	Ai-je manqué le tour ?
They want more.	Elles veulent davantage.	Elles veulent davantage.
She rode a camel.	Elle a monté un chameau.	Elle a <unk> une <unk>
"I'm not accustomed to working day and night." "You'll soon get used to it."	"Je ne suis pas habitué à travailler le jour et la nuit." "Vous vous y ferez bientôt".	« Il ne reste pas habitué travailler <unk> et <unk> <unk> <unk> <unk>
Could you take some pictures of us?	Pourriez-vous prendre quelques photos de nous ?	Pourriez-vous prendre quelques photos ?
I got there ahead of time.	J'y parvins en avance.	Je y a eu le temps de temps.
We can't lose.	Nous ne pouvons par perdre.	Nous ne pouvons perdre.
You're the only one I trust.	Vous êtes la seule en qui j'ai confiance.	Vous êtes le seul que je <unk>
Tom cried for help, but nobody heard him.	Tom appela à l'aide, mais personne ne l'entendit.	Tom a pleuré de la pluie mais personne ne l'a entendu personne.
She wrote to him to tell him that she couldn't come to visit next summer.	Elle lui écrivit pour lui annoncer qu'elle ne pourrait pas venir en visite l'été prochain.	Elle lui a écrit de lui dire qu'elle lui rendre visite à voir le rendre visite.
You scared the living day lights out of me!	Vous m'avez fait une peur bleue !	Tu as peur de la journée <unk>
Are you getting tired?	Commencez-vous à être fatiguée ?	<unk> ?
You shouldn't depend on others too much.	Vous ne devriez pas trop dépendre des autres.	Vous ne devriez pas dépendre à beaucoup trop tôt.
He's more than likely to come.	Il est plus que probable qu'il vienne.	Il est plus probable qu'il est probable qu'il vienne.
Don't be ashamed of who you are.	N'ayez pas honte de ce que vous êtes.	N'ayez pas honte de toi qui vous êtes.
He isn't any older than I thought.	Il n'est pas plus vieux que ce que je pensais.	Il n'est pas plus vieux que je ne pensais.
Someone broke into my house and ran away with all of my money.	Quelqu'un a cambriolé ma maison et s'est enfui avec tout mon argent.	Quelqu'un m'a tombée dans ma maison et ma grand-mère.
Sometimes it seems that everybody hates me.	Parfois, il semble que tout le monde me déteste.	Il semble que ça se <unk>
I agree with everything you just said.	Je suis d'accord avec tout ce que vous venez de dire.	Je suis d'accord avec tout ce que vous avez fait tout simplement
He has made the company what it is today.	Il a fait de la société ce qu'elle est aujourd'hui.	Il a fait le <unk> ce qui est aujourd'hui.
He is handsome and clever.	Il est beau et intelligent.	Il est <unk> et peu.
Where did you find my umbrella?	Où as-tu trouvé mon parapluie ?	Où as-tu trouvé mon parapluie ?
She was quite eager in her studies.	Elle était assez motivée dans ses études.	Elle était assez impatient dans sa ville.
I heard her sing a song.	Je l'ai entendue chanter.	J'ai entendu chanter une chanson.
No one will know.	Personne ne le saura.	Personne ne le savoir.
Does the medicine act quickly?	Ce médicament fait-il effet rapidement ?	Est-ce que le médicament <unk> le <unk> ?
Don't call her now.	Ne l'appelle pas maintenant.	Ne <unk> pas maintenant.
I'm not hurt.	Je ne suis pas blessée.	Je ne suis pas blessé.
They are not tired.	Elles ne sont pas fatiguées.	Elles ne sont pas fatigué.
Let me buy you a drink.	Laisse-moi te payer une boisson.	Laissez-moi acheter une boisson.
I figured I might be able to help.	Je me suis imaginé que je pourrais être en mesure de donner un coup de main.	J'ai songé que je pourrais être capable de aider.
I stayed home because it was raining.	Je suis resté chez moi car il pleuvait.	Je suis resté à la maison parce qu'il était pleuvoir.
Oh, I'm terribly sorry.	Je suis vraiment désolé.	Oh, je suis désolé.
You must be very hungry now.	Tu dois maintenant avoir très faim.	Tu dois être très faim maintenant.
She wrote about it in her diary.	Elle y a fait référence dans son journal.	Elle lui a écrit de son journal.
I'm somewhat dizzy.	J'ai un peu la tête qui tourne.	Je suis <unk>
Are you sleepy?	Avez-vous sommeil ?	Es-tu en train de dormir ?
I want you to run to the store for me.	Je veux que tu coures au magasin pour moi.	Je veux que vous <unk> pour me <unk>
The information you gave me is of little use.	L'information que tu m'as donnée ne m'aide guère.	Le film m'a donné de peu près de vol.
They're tired.	Elles sont fatiguées.	Elles sont fatigués.
Are you sure that's safe?	Es-tu sûr que c'est sûr ?	Es-tu sûre que c'est sûr ?
It's all your fault.	C'est entièrement de votre faute.	C'est tout de ta faute.
Tom must be proud of you.	Tom doit être fier de toi.	Tom doit être fier de vous.
He twirled his mustache.	Il tournicota sa moustache.	Il <unk> son <unk>
Look up the word in your dictionary.	Cherchez ce mot dans votre dictionnaire.	Regarde le mot dans votre dictionnaire.
That's a joke.	C'est une blague.	C'est une blague.
That's all for today.	C'est tout pour aujourd'hui.	C'est tout pour aujourd'hui.
It's not sure it will happen.	Il n'est pas certain que ça aura lieu.	Ce n'est pas sûr qu'il arrivera.
I know the reason, but I can't tell you.	Je sais la raison, mais je ne peux pas te la dire.	Je sais que le <unk> mais je ne peux pas vous le dire.
Can you show me how to do this?	Pouvez-vous me montrer comment le faire ?	Pouvez-vous me montrer comment faire ça ?
A beautiful woman was seated one row in front of me.	Une belle femme était assise une rangée devant moi.	Un beau femme était <unk> devant une <unk>
That song reminds me of my childhood.	Cette chanson me rappelle mon enfance.	Cette chanson m'a volé mon enfance.
I wonder what ear lobes are for.	Je me demande à quoi servent les lobes d'oreilles.	Je me demande ce dont nous <unk>
Tomorrow, I'll take the books to the library.	Demain, je prendrai les livres à la bibliothèque.	Demain, je vais prendre le livres à la bibliothèque.
You're going to have to do better than that.	Il va vous falloir faire mieux que ça.	Vous devrez avoir mieux de faire cela.
She spread a beautiful cloth on a table.	Elle étala une belle nappe sur une table.	Elle a <unk> une belle femme sur une table.
I want to talk with the manager about the schedule.	Je voudrais m'entretenir avec le gérant au sujet du calendrier.	Je veux discuter avec le <unk> du <unk>
This car handles well.	Cette voiture se manie bien.	Cette voiture a bien <unk>
Let's see if they let you talk.	Voyons s'ils te laissent parler.	Voyons si elles veulent les <unk>
I feel like a fool.	Je me sens comme une idiote.	Je me sens comme un idiote.
This smells great! What are you cooking?	Ça sent bon ! Que cuisines-tu ?	Ce sent <unk> sont <unk>
We discussed the problem all afternoon.	Nous avons discuté du problème toute l'après-midi.	Nous avons discuté du problème toute l'après-midi.
This one's all yours.	Celui-ci est entièrement à vous.	Celui-ci est tout le vôtre.
I'd like to be more than just friends.	J'aimerais que nous soyons davantage que juste des amis.	J'aimerais être plus plus vieux que amis.
She's asking for the impossible.	Elle demande l'impossible.	Elle est pour le impossible.
He believes that he can prove it.	Il croit pouvoir le prouver.	Il croit qu'il peut le prouver.
Your dinner is getting cold.	Votre déjeuner refroidit.	Ton dîner est froid.
It has cooled off.	Ça s'est rafraîchi.	Il a <unk>
Let's get together the next time you come back to Boston.	Retrouvons-nous, la prochaine fois que vous venez à Boston.	Allons nous <unk> la prochaine fois que vous veniez à Boston.
They're speaking French.	Elles parlent en français.	Elles parlent français.
She has never seen it before.	Elle ne l'a jamais vu.	Elle n'a jamais vu auparavant.
If you want to get elected, you're going to have to improve your public image.	Si tu veux être élu, tu vas devoir soigner ton image.	Si tu veux <unk> tu vas te <unk> <unk> votre <unk>
He takes the attitude that resistance is a waste of energy.	Il adopte l'attitude que la résistance est une perte d'énergie.	Il prend la <unk> <unk> que <unk> est une perte de <unk>
I don't think I've ever eaten anything that you would consider disgusting.	Je ne pense pas jamais avoir mangé quoi que ce fut que tu considérerais dégoûtant.	Je ne pense pas que je vous ai jamais mangé ce que vous seriez <unk>
Look at the dog jump.	Regardez le chien sauter !	Regarde le chien <unk>
We will make an exception of your case.	Nous ferons une exception dans ton cas.	Nous allons faire une personne de votre cas.
Chinese calligraphy is considered an art form.	La calligraphie chinoise est considérée comme une forme d'art.	Le <unk> est considéré un sourire <unk>
I admire your perseverance and determination.	J'admire votre persévérance et votre détermination.	J'admire votre <unk> et <unk>
She is a beauty.	C'est une beauté.	Elle est un <unk>
We gave the car a push.	Nous avons poussé la voiture.	Nous avons donné la voiture <unk>
Respect your elders.	Respectez vos aînées.	<unk> votre <unk>
I'll do whatever you want.	Je ferai tout ce que tu veux.	Je ferai tout ce que vous voulez.
Are you sure you're not tired?	Êtes-vous sûr de ne pas être fatigué ?	Es-tu sûre de ne pas être fatiguée ?
In the land of the blind, the one-eyed man is king.	Au pays des aveugles, le borgne est roi.	Dans le terrain de la <unk> <unk> est l'homme est <unk>
She held him by the sleeve.	Elle le tint par la manche.	Elle lui tendit par la manche.
For here, or to go?	Pour consommer sur place ou à emporter ?	Pour emporter ou à partir ?
I had a stroke.	J'ai fait un accident vasculaire cérébral.	J'ai eu une <unk>
You alone can do it, but you can't do it alone.	Vous seuls pouvez le faire, mais vous ne pouvez le faire seuls.	Tu peux le faire, mais tu ne peux pas faire seule.
You don't impress me.	Tu ne m’impressionne pas.	Vous ne m'avez pas <unk>
Tom cut his finger on a piece of glass.	Tom s'est coupé le doigt sur un morceau de verre.	Tom coupa son doigt sur une fleur de verre.
I had a strange dream last night.	J'ai eu un rêve étrange la nuit dernière.	J'ai eu une <unk> hier soir.
It's just the two of us.	Ce n'est que nous deux.	C'est simplement que nous nous <unk>
You have to leave everything.	Vous devez tout laisser.	Il faut que vous quitter.
If there's anything you want to do, you should do it.	S'il y a quoi que ce soit que tu veuilles faire, tu devrais le faire.	Si ce soit y a quoi tu veux faire, tu devrais le faire.
I just want to let you know that I can't attend this afternoon's meeting.	Je veux juste te faire savoir que je ne peux pas être présent à la réunion de cet après-midi.	Je veux juste te laisser laisser celui que je ne peux pas penser que ce restaurant.
Don't move.	Ne bouge pas.	Ne <unk> pas.
What exactly is that?	De quoi s'agit-il, exactement ?	Quelle est exactement ?
How many songs have you written?	Combien de chansons avez-vous écrites ?	Combien de temps as-tu <unk> ?
